,Name,Year,Min,Genre,Rate,Votes,Cast
262, Цементный сад ,1993,105,Drama,7.0,4816, Andrew Birkin 
263, Неуютная ферма ,1995,105,"Comedy, Romance",7.2,7058, John Schlesinger 
264, Зов предков ,1972,105,"Adventure, Family, Western",6.0,1807, Ken Annakin 
265, Последнее солнце ,2001,105,Drama,7.6,7119, Walter Salles 
266, The Heart of the Matter ,1953,105,"Crime, Drama",6.7,480, George More O'Ferrall 
267, The Good Soldier ,1981,105,"Drama, Romance",6.9,163, Kevin Billington 
268, Dervis i smrt ,1974,105,Drama,7.0,317, Zdravko Velimirovic 
269, Трава поёт ,1981,105,Drama,5.0,179, Michael Raeburn 
270, Любовник леди Чаттерлей ,1981,104,"Drama, Romance",5.1,2840, Just Jaeckin 
271, Третий человек ,1949,104,"Film-Noir, Mystery, Thriller",8.1,169828, Carol Reed 
272, Бойня номер пять ,1972,104,"Comedy, Drama, Sci-Fi",6.8,13018, George Roy Hill 
273, Грозовой перевал ,1939,104,"Drama, Romance",7.5,18029, William Wyler 
274, Осколки ,2007,104,Drama,6.9,2578, Jeremy Podeswa 
275, Посторонний ,1967,104,Drama,7.2,2617, Luchino Visconti 
276, Беглец ,1947,104,"Drama, History",6.3,2383," John Ford, Emilio Fernández "
277, Native Son ,1951,104,"Drama, Film-Noir",6.2,384, Pierre Chenal 
278, One Day in the Life of Ivan Denisovich ,1970,104,Drama,7.1,576, Casper Wrede 
279, Согласно Перейре ,1995,104,Drama,7.1,1352, Roberto Faenza 
280, Не отпускай меня ,2010,103,"Drama, Romance, Sci-Fi",7.1,144943, Mark Romanek 
281, Машина времени ,1960,103,"Adventure, Romance, Sci-Fi",7.5,40940, George Pal 
282, Вероника решает умереть ,2009,103,"Drama, Romance",6.3,12646, Emily Young 
283," Заплачь, любимая страна ",1951,103,Drama,7.0,850, Zoltan Korda 
284, Сыновья и любовники ,1960,103,Drama,7.1,1588, Jack Cardiff 
285, Schachnovelle ,1960,103,"Drama, Sport, War",6.9,578, Gerd Oswald 
286, Американский психопат ,2000,102,"Crime, Drama, Horror",7.6,574909, Mary Harron 
287, Реквием по мечте ,2000,102,Drama,8.3,823505, Darren Aronofsky 
288, Милый друг ,2012,102,"Crime, Drama, History",5.4,18601," Declan Donnellan, Nick Ormerod "
289, Конец романа ,1999,102,"Drama, Romance",7.0,22806, Neil Jordan 
290, Крылья голубки ,1997,102,"Drama, Romance",7.1,12357, Iain Softley 
291, Одержимость ,2002,102,"Drama, Mystery, Romance",6.3,13306, Neil LaBute 
292, Дельта Венеры ,1995,102,Drama,4.7,2162, Zalman King 
293, Белые ночи ,1957,102,"Drama, Romance",7.8,8120, Luchino Visconti 
294, Загадки песков ,1979,102,"Adventure, Drama, Thriller",6.3,1243, Tony Maylam 
